Price,Close,High,Low,Open,Volume
Ticker,ACA.PA,ACA.PA,ACA.PA,ACA.PA,ACA.PA
Date,,,,,
2003-03-17,-33.372047424316406,-33.81145712125666,-31.84567476000902,-32.53948074732933,10152918
2003-03-24,-33.8345947265625,-33.950227822387944,-31.429399420128448,-32.840136899730005,9703128
2003-03-31,-34.69028854370117,-35.129695821855414,-32.770758374256765,-32.88639146761517,9935513
2003-04-07,-36.54043960571289,-37.69678081535203,-34.713417244579134,-35.26846275171738,23130917
2003-04-14,-36.86420822143555,-38.1361847945071,-35.84662543958617,-36.540431535530715,11559627
2003-04-21,-37.00296401977539,-38.71435278776871,-36.30916050733132,-36.8642058562733,8139485
2003-04-28,-38.205570220947266,-38.529344410837375,-36.65606948045192,-36.91046330543792,8952532
2003-05-05,-38.598724365234375,-39.778193017463224,-37.62739425282587,-38.39058074743996,8604056
2003-05-12,-39.50066375732422,-41.304557827763915,-38.50620874795672,-38.62184181140138,12810616
2003-05-19,-40.70326232910156,-40.70326232910156,-35.54597101406276,-38.15930938565272,20608524
2003-05-26,-41.165794372558594,-41.165794372558594,-37.69676694232514,-40.009453588471786,29723283
2003-06-02,-39.94007873535156,-42.345273685892096,-39.10751193604553,-41.1426749411284,20585209
2003-06-09,-40.95766830444336,-41.790232702929266,-38.968757692983154,-39.2231515239692,13547291
2003-06-16,-40.81004333496094,-43.43525248638522,-40.07021349907125,-41.90785754699476,20303985
2003-06-23,-40.213401794433594,-41.12029055712534,-39.497435740691046,-40.57138351126419,51958742
2003-06-30,-39.736087799072266,-40.42818747431245,-38.25642579198744,-39.97474313054279,30677459
2003-07-07,-39.71222686767578,-41.16802275309767,-39.33037880953368,-40.094077545899395,25161130
2003-07-14,-40.52365493774414,-41.812391784487225,-39.712226190478205,-39.712226190478205,25035581
2003-07-21,-39.831546783447266,-40.92936068298362,-39.569025157008255,-40.52364639488003,16182141
2003-07-28,-40.499778747558594,-41.191878336257034,-39.855409171153525,-39.90314180352772,24274907
