Price,Close,High,Low,Open,Volume
Ticker,CAP.PA,CAP.PA,CAP.PA,CAP.PA,CAP.PA
Date,,,,,
2000-01-03,133.97911071777344,162.90910614936703,124.55315035198139,153.06817709210748,2653888
2000-01-10,148.7998504638672,155.61737349308817,134.57197631592769,139.84814269411973,2506359
2000-01-17,141.68589782714844,152.35680226601315,132.91204125713654,149.57051236058825,1907689
2000-01-24,132.31919860839844,153.66101417319743,127.57657493751795,143.46436604413495,4018841
2000-01-31,144.05718994140625,146.4285017099891,127.57657134058836,130.5407110513169,1926626
2000-02-07,158.2851104736328,158.7593657402531,139.49246058986375,145.24289163310874,2191998
2000-02-14,139.01815795898438,159.4707227759778,136.35043211328957,159.4707227759778,1496595
2000-02-21,151.7639617919922,157.98865553736687,133.9791225194931,139.13672409935043,1652506
2000-02-28,174.2321319580078,185.85156346778962,146.60635474564063,153.0088984541768,3712918
2000-03-06,207.48980712890625,218.69425309553213,171.32729788643974,179.211903320668,2741113
2000-03-13,163.62054443359375,206.18559187203917,160.18214892492077,195.6332596488621,2769499
2000-03-20,177.2555389404297,177.84836682986256,160.6563580363092,167.77029270950368,1662909
2000-03-27,167.77032470703125,180.51612676074564,150.04477105066576,176.66274474450643,1733153
2000-04-03,149.39263916015625,164.03549634625335,133.97911289760043,161.84202575683594,2689293
2000-04-10,123.90101623535156,157.9886163957952,122.8339243342055,152.9495798503383,2840736
2000-04-17,130.00717163085938,133.20843895204655,111.57021871268603,112.63731083502731,2964927
2000-04-24,128.05088806152344,135.16482628716363,118.56563709400318,130.00722288274252,1635447
2000-05-01,123.24893951416016,130.60001225692454,121.94471970287799,128.0508500077872,1599575
2000-05-08,123.6046371459961,126.80590470554307,112.8151694297097,124.49387913985218,1655671
2000-05-15,114.47505950927734,131.01495262505688,112.63728958715298,124.13814606350724,2269568
2000-05-22,116.7871322631836,116.7871322631836,98.40946170400242,115.0086480155209,5818587
2000-05-29,134.69943237304688,140.65958424796045,113.83890081084935,119.20303749827157,4039919
2000-06-05,126.35523986816406,138.27554551610407,121.11030356417616,138.21594035007578,2617305
2000-06-12,122.77913665771484,126.35522801667742,117.1169920060241,126.35522801667742,2416024
2000-06-19,109.607177734375,128.79887201475523,106.03108698813804,122.12349534620434,3350468
2000-06-26,109.9648208618164,115.92497375405578,102.8722425578402,112.7660909022746,3060319
2000-07-03,112.82567596435547,113.83889995659347,104.6602697758917,110.26280885848058,2249434
2000-07-10,113.83890533447266,114.73292815123553,105.49469237801915,114.4349205456479,1931053
2000-07-17,125.16322326660156,126.9512693132673,111.57407149304747,114.97135716281787,3454965
2000-07-24,120.57391357421875,128.14330710526292,118.07065078919658,121.70633916201093,1820302
2000-07-31,112.94488525390625,126.35522783022758,109.96480912583485,120.09706796127762,2075604
2000-08-07,111.75285339355469,121.5274993325894,109.78600135493402,114.43492187499999,4254999
2000-08-14,115.20974731445312,117.89181588522402,112.17006596312444,113.24289521032696,1068046
2000-08-21,128.44126892089844,128.7392765054017,115.32893520275569,115.32893520275569,1945116
2000-08-28,143.10324096679688,147.2157418586641,127.01083193771214,127.54724193422719,3964255
2000-09-04,131.42135620117188,146.5005431080009,129.03729531770392,143.10325816795316,2098935
2000-09-11,125.8188247680664,137.0835095213829,124.09037506089673,132.97100787352986,2951944
2000-09-18,119.50105285644531,137.67951725605423,116.81898433847024,126.47442918428641,2857272
2000-09-25,126.95126342773438,131.36177316724712,121.58712553642165,123.79238040617803,1497680
2000-10-02,124.03076934814453,136.07027482069304,122.77913376421631,123.07714137044013,1969295
2000-10-09,121.58711242675781,126.35523448270911,114.37532417934307,124.32878624671825,2579152
2000-10-16,120.27587890625,126.95124786722889,108.77278279703883,126.95124786722889,3082002
2000-10-23,112.34888458251953,120.99110647348257,107.58076215991925,120.39509117065754,3885440
